raw_date,raw_merchant,raw_amount,true_category,true_date,true_amount
2024-12-22,Boojum Burrito Cork,-102.71,Dining & Takeaway,2024-12-22,102.71
2023-08-30,  Irish Water Direct Debit   ,-106.69,Utilities & Bills,2023-08-30,106.69
11/01/2024,  Boojum Burrito DUNDALK   ,-36.24,Dining & Takeaway,2024-01-11,36.24
13/06/2024,DUNNES STORES LIMERICK,-?24.79,Groceries,2024-06-13,24.79
2023.07.24,Starbucks Coffee #8770,-24.59,Dining & Takeaway,2023-07-24,24.59
2023-07-23,Physiotherapy Care Dublin,-?44.52,Health & Fitness,2023-07-23,44.52
01/08/2023,SPAR EXPRESS DUBLIN,-?8.50,Groceries,2023-08-01,8.5
11/01/2024,Audible UK Monthly,?8.19,Entertainment & Subscriptions,2024-01-11,8.19
2023-01-27,DISNEY PLUS MONTHLY,19.79,Entertainment & Subscriptions,2023-01-27,19.79
2025-01-10,Applegreen Motorway Services,?24.48,Transport,2025-01-10,24.48
05/08/2024,SPOTIFY AB 6656 EUR,28.35,Entertainment & Subscriptions,2024-08-05,28.35
2025-05-05,marks & spencer food,-?99.50,Groceries,2025-05-05,99.5
"Apr 15, 2023",JUST EAT 4978,?30.07,Dining & Takeaway,2023-04-15,30.07
2023-07-21,Starbucks Coffee #2196,-6.48,Dining & Takeaway,2023-07-21,6.48
2023-04-15,Brown Thomas Dublin,-?142.55,Shopping,2023-04-15,142.55
2023-01-09,  AMZN PRIME MEMBER   ,-?4.99,Entertainment & Subscriptions,2023-01-09,4.99
2023-03-18,Sky Ireland Tv & Broadband,-100.21,Utilities & Bills,2023-03-18,100.21
2023-12-05,IRISH RAIL ONLINE,27.50,Transport,2023-12-05,27.5
23/02/2024,TESCO EXTRA KILKENNY,134.57 EUR,Groceries,2024-02-23,134.57
10/02/2025,ikea dublin store,-?64.47,Shopping,2025-02-10,64.47
25/11/2023,  Nandos LIMERICK   ,-64.00,Dining & Takeaway,2023-11-25,64.0
15/01/2025,ALDI IRELAND GMBH,-45.43,Groceries,2025-01-15,45.43
"May 12, 2025",spotify ab 5925 eur,-26.24,Entertainment & Subscriptions,2025-05-12,26.24
15/10/2024,  Dominos Pizza BRAY   ,-?55.59,Dining & Takeaway,2024-10-15,55.59
2023-06-28,  DART TICKET MACHINE   ,-?18.78,Transport,2023-06-28,18.78
18/05/2025,Tesco Express,-?70.44,Groceries,2025-05-18,70.44
2023-03-16,shell petrol 5198,-20.84,Transport,2023-03-16,20.84
2025-04-10,SuperValu BRAY,-30.46,Groceries,2025-04-10,30.46
2025.06.30,APPLE.COM/BILL,-13.59,Entertainment & Subscriptions,2025-06-30,13.59
25/02/2023,Marks & Spencer Food,,Groceries,2023-02-25,29.46
06/12/2024,  UBER *TRIP 8798   ,?35.38,Transport,2024-12-06,35.38
2023-11-09,ALDI STORE 1303,-?49.87,Groceries,2023-11-09,49.87
2025-02-06,Costa Coffee LIMERICK,39.74 EUR,Dining & Takeaway,2025-02-06,39.74
24/02/2024,Applegreen Motorway Services,-7.96,Transport,2024-02-24,7.96
"Jun 03, 2023",  SHELL PETROL 2860   ,-?20.96,Transport,2023-06-03,20.96
29/01/2023,  IKEA DUBLIN STORE   ,10.00 EUR,Shopping,2023-01-29,10.0
2023-01-23,JUST EAT 2385,-?25.90,Dining & Takeaway,2023-01-23,25.9
2024-01-20,  SPAR EXPRESS KILKENNY   ,-?9.91,Groceries,2024-01-20,9.91
2025-01-03,Irish Water Direct Debit,-173.97,Utilities & Bills,2025-01-03,173.97
"Nov 10, 2024",  Tesco Store #3540   ,?65.66,Groceries,2024-11-10,65.66
23/02/2024,TESCO EXTRA KILKENNY,134.57 EUR,Groceries,2024-02-23,134.57
"May 24, 2023",Nandos Swords,-39.90,Dining & Takeaway,2023-05-24,39.9
2023-11-12,JUST EAT 1747,?4.80,Dining & Takeaway,2023-11-12,4.8
2023-03-22,nandos dundalk,-32.06,Dining & Takeaway,2023-03-22,32.06
2024-04-09,just eat 7607,-?56.31,Dining & Takeaway,2024-04-09,56.31
2023-06-02,Dominos Pizza DUBLIN,-3.80,Dining & Takeaway,2023-06-02,3.8
2023.06.20,Tesco Express,?8.50,Groceries,2023-06-20,8.5
"Sep 25, 2023",YOUTUBE PREMIUM,-4.99,Entertainment & Subscriptions,2023-09-25,4.99
2023-11-09,APPLE.COM/BILL,-10.87,Entertainment & Subscriptions,2023-11-09,10.87
2023-03-29,TESCO EXTRA BRAY,-?17.17,Groceries,2023-03-29,17.17
2023.12.20,McDonalds DUNDALK,-67.54,Dining & Takeaway,2023-12-20,67.54
2024-05-05,Audible UK Monthly,16.65,Entertainment & Subscriptions,2024-05-05,16.65
2024-07-17,LIDL IRELAND,-?8.50,Groceries,2024-07-17,8.5
"Mar 25, 2023",APPLE.COM/BILL,-5.75,Entertainment & Subscriptions,2023-03-25,5.75
29/01/2023,booking.com hotel,-267.73,Travel,2023-01-29,267.73
2024-12-06,DUBLIN BUS 4666,-38.75,Transport,2024-12-06,38.75
2025-03-11,marks & spencer food,-30.77,Groceries,2025-03-11,30.77
2023-12-14,McDonalds SWORDS,-313.59,Dining & Takeaway,2023-12-14,313.59
2023-04-17,YOUTUBE PREMIUM,12.85,Entertainment & Subscriptions,2023-04-17,12.85
2024-08-12,CIRCLE K DUBLIN,?2.40,Transport,2024-08-12,2.4
2023-11-02,aldi ireland gmbh,-30.50,Groceries,2023-11-02,30.5
05/11/2024,Lidl Ireland,-?26.34,Groceries,2024-11-05,26.34
2024-06-07,UBER *TRIP 4892,-?42.04,Transport,2024-06-07,42.04
2023-10-28,ELECTRIC IRELAND DD,-58.90,Utilities & Bills,2023-10-28,58.9
"Apr 29, 2025",Insomnia Coffee Co,-?51.38,Dining & Takeaway,2025-04-29,51.38
2025-04-23,LIDL IRELAND,?27.84,Groceries,2025-04-23,27.84
05/06/2023,LEAP CARD AUTO TOPUP,29.40,Transport,2023-06-05,29.4
09/03/2025,LEAP CARD AUTO TOPUP,-4.21,Transport,2025-03-09,4.21
23/04/2024,Dominos Pizza Cork,-3.80,Dining & Takeaway,2024-04-23,3.8
2023-12-28,Sky Ireland TV & Broadband,-125.88,Utilities & Bills,2023-12-28,125.88
"Jul 01, 2023",dunnes stores cork,?46.95,Groceries,2023-07-01,46.95
11/05/2023,HOTELS.COM RESERVATION,-?247.75,Travel,2023-05-11,247.75
21/08/2024,ALDI IRELAND GMBH,44.75,Groceries,2024-08-21,44.75
07/09/2024,  FREE NOW TAXI DUBLIN   ,5.85,Transport,2024-09-07,5.85
2025-03-12,dublin bus 3083,-26.80,Transport,2025-03-12,26.8
2024-06-30,SPAR EXPRESS GALWAY,-?38.36,Groceries,2024-06-30,38.36
2024-06-15,Dentist Clinic Dublin,-74.06,Health & Fitness,2024-06-15,74.06
"Sep 18, 2023",  Bord Gais Energy DD   ,-233.55,Utilities & Bills,2023-09-18,233.55
20/02/2025,  LIDL IRELAND   ,-62.00,Groceries,2025-02-20,62.0
"Feb 19, 2023",Supervalu Dundalk,-60.00,Groceries,2023-02-19,60.0
2025.06.05,mcdonalds swords,?22.81,Dining & Takeaway,2025-06-05,22.81
"Aug 10, 2024",ALDI IRELAND GMBH,?48.12,Groceries,2024-08-10,48.12
2025.03.04,Nandos CORK,-4.72,Dining & Takeaway,2025-03-04,4.72
2024-07-29,Marks & Spencer Food,?39.23,Groceries,2024-07-29,39.23
"Aug 13, 2023",Tesco Extra Galway,-40.54,Groceries,2023-08-13,40.54
2023-06-14,FREE NOW TAXI DUBLIN,?2.40,Transport,2023-06-14,2.4
2024.09.12,apple store retail,39.66,Shopping,2024-09-12,39.66
2024-08-21,THE LOCAL PUB & GRILL,6.03,Dining & Takeaway,2024-08-21,6.03
2025-02-02,SuperValu BRAY,?40.99,Groceries,2025-02-02,40.99
"Jul 08, 2023",decathlon sports ireland,-64.06,Shopping,2023-07-08,64.06
2024-08-13,tfi leap card topup,-?2.40,Transport,2024-08-13,2.4
2023-05-18,PENNEYS PRIMARK LIMERICK,-128.57,Shopping,2023-05-18,128.57
2023.05.16,apple store retail,-10.00,Shopping,2023-05-16,10.0
2025-06-30,APPLE.COM/BILL,?4.99,Entertainment & Subscriptions,2025-06-30,4.99
2023-01-17,dunnes stores limerick,-104.77,Groceries,2023-01-17,104.77
08/11/2024,SPAR EXPRESS DUNDALK,-?8.50,Groceries,2024-11-08,8.5
23/07/2024,YOUTUBE PREMIUM,-23.99,Entertainment & Subscriptions,2024-07-23,23.99
2023-08-18,TESCO EXTRA GALWAY,-66.97,Groceries,2023-08-18,66.97
24/01/2024,Lidl 3143 KILKENNY,?73.19,Groceries,2024-01-24,73.19
06/06/2024,Insomnia Coffee Co,-?46.08,Dining & Takeaway,2024-06-06,46.08
2023-08-12,tesco express,-?33.29,Groceries,2023-08-12,33.29
11/06/2023,TFI Leap Card Topup,-13.15,Transport,2023-06-11,13.15
2024-03-26,uber *trip 9240,-14.65,Transport,2024-03-26,14.65
10/11/2024,Netflix.com monthly,-?6.53,Entertainment & Subscriptions,2024-11-10,6.53
2025-01-23,  Lidl 2523 SWORDS   ,-?56.77,Groceries,2025-01-23,56.77
05/09/2023,Sky Ireland Tv & Broadband,?35.00,Utilities & Bills,2023-09-05,35.0
2024.02.27,the local pub & grill,14.70,Dining & Takeaway,2024-02-27,14.7
2024-04-25,  SuperValu GALWAY   ,-89.26,Groceries,2024-04-25,89.26
2025-02-17,Lidl 9132 DUNDALK,-?11.37,Groceries,2025-02-17,11.37
22/02/2023,ELECTRIC IRELAND DD,-100.90,Utilities & Bills,2023-02-22,100.9
17/10/2023,DELIVEROO.IE *7108,-30.24,Dining & Takeaway,2023-10-17,30.24
2023-02-01,amzn mktp uk*6886,-85.64,Shopping,2023-02-01,85.64
2023-08-19,mcdonalds limerick,-4.67,Dining & Takeaway,2023-08-19,4.67
2025-06-18,  PENNEYS PRIMARK SWORDS   ,-50.36,Shopping,2025-06-18,50.36
2023-08-14,Starbucks Coffee #8574,-?14.10,Dining & Takeaway,2023-08-14,14.1
2023-08-25,VIRGIN MEDIA IRELAND,-52.07,Utilities & Bills,2023-08-25,52.07
27/06/2025,Tesco Express,44.11,Groceries,2025-06-27,44.11
2023-12-01,ikea dublin store,60.20,Shopping,2023-12-01,60.2
2025-01-11,,-85.44,Groceries,2025-01-11,85.44
2024-03-31,mcdonalds dublin,-4.71,Dining & Takeaway,2024-03-31,4.71
2023-10-01,SuperValu DUNDALK,-72.68,Groceries,2023-10-01,72.68
"Nov 17, 2024",YOUTUBE PREMIUM,-?6.57,Entertainment & Subscriptions,2024-11-17,6.57
2024-12-27,Marks & Spencer Food,-115.95,Groceries,2024-12-27,115.95
05/01/2024,Dentist Clinic Dublin,28.10 EUR,Health & Fitness,2024-01-05,28.1
"Feb 04, 2024",DUBLIN BUS 3072,11.84,Transport,2024-02-04,11.84
2023-06-25,Costa Coffee DUBLIN,-4.57,Dining & Takeaway,2023-06-25,4.57
"Aug 08, 2023",Marks & Spencer Food,-?36.81,Groceries,2023-08-08,36.81
2024-02-15,Nandos SWORDS,-30.44,Dining & Takeaway,2024-02-15,30.44
"Jul 18, 2024",SPAR EXPRESS BRAY,?64.83,Groceries,2024-07-18,64.83
2025-01-28,Dominos Pizza SWORDS,-?21.02,Dining & Takeaway,2025-01-28,21.02
2024-01-24,youtube premium,-29.33,Entertainment & Subscriptions,2024-01-24,29.33
"Mar 12, 2024",  DUNNES STORES SWORDS   ,-?49.74,Groceries,2024-03-12,49.74
13/06/2025,DUNNES STORES BRAY,-72.46,Groceries,2025-06-13,72.46
2023-01-30,Physiotherapy Care Dublin,-48.42,Health & Fitness,2023-01-30,48.42
2023-01-10,Physiotherapy Care Dublin,?12.00,Health & Fitness,2023-01-10,12.0
"Feb 01, 2025",LIDL IRELAND,?89.12,Groceries,2025-02-01,89.12
2023-03-02,Starbucks Coffee #8032,-11.01,Dining & Takeaway,2023-03-02,11.01
16/04/2024,ODEON CINEMAS DUBLIN,-?16.18,Entertainment & Subscriptions,2024-04-16,16.18
"Oct 10, 2024",leap card auto topup,-21.14,Transport,2024-10-10,21.14
"Mar 09, 2023",tesco express,?37.00,Groceries,2023-03-09,37.0
2024.08.20,  YOUTUBE PREMIUM   ,-?8.94,Entertainment & Subscriptions,2024-08-20,8.94
"Nov 20, 2023",  BOOTS PHARMACY GALWAY   ,-26.94,Shopping,2023-11-20,26.94
2025-02-22,  DISNEY PLUS MONTHLY   ,-14.68,Entertainment & Subscriptions,2025-02-22,14.68
2025-03-31,,-3.80,Dining & Takeaway,2025-03-31,3.8
"Mar 10, 2025",Applegreen Motorway Services,-14.02,Transport,2025-03-10,14.02
2023-04-01,SPOTIFY AB 6964 EUR,-?26.89,Entertainment & Subscriptions,2023-04-01,26.89
22/07/2024,Audible UK Monthly,-20.60,Entertainment & Subscriptions,2024-07-22,20.6
31/08/2024,AMZN Mktp UK*6658,?180.91,Shopping,2024-08-31,180.91
03/12/2024,FREE NOW TAXI DUBLIN,-?2.40,Transport,2024-12-03,2.4
2025-03-08,Bord Gais Energy DD,-64.19,Utilities & Bills,2025-03-08,64.19
04/12/2023,Tesco Store #2897,?96.95,Groceries,2023-12-04,96.95
2025-03-28,THE LOCAL PUB & GRILL,14.12 EUR,Dining & Takeaway,2025-03-28,14.12
2024-03-28,PENNEYS PRIMARK DUNDALK,-64.64,Shopping,2024-03-28,64.64
2024-10-11,  Costa Coffee DUBLIN   ,?3.80,Dining & Takeaway,2024-10-11,3.8
2025-02-22,SHELL PETROL 9868,?19.81,Transport,2025-02-22,19.81
2023.01.12,  DART TICKET MACHINE   ,2.40,Transport,2023-01-12,2.4
2024-12-10,IKEA DUBLIN STORE,?127.89,Shopping,2024-12-10,127.89
21/10/2024,zara ireland bray,-11.83,Shopping,2024-10-21,11.83
2023.04.02,  Gourmet Burger Kitchen   ,-48.60,Dining & Takeaway,2023-04-02,48.6
2025-05-27,  TK MAXX KILKENNY   ,?129.66,Shopping,2025-05-27,129.66
2023-10-24,tesco extra kilkenny,-8.50,Groceries,2023-10-24,8.5
2023-11-18,boojum burrito dundalk,-?7.94,Dining & Takeaway,2023-11-18,7.94
26/11/2023,AIRBNB * 6932,-332.46,Travel,2023-11-26,332.46
2024-10-25,Lidl 5429 SWORDS,-57.67,Groceries,2024-10-25,57.67
2025.06.24,SHELL PETROL 2719,?27.87,Transport,2025-06-24,27.87
"Aug 22, 2024",Tesco Store #9979,-59.86,Groceries,2024-08-22,59.86
2023-03-21,  ALDI STORE 5379   ,-59.38,Groceries,2023-03-21,59.38
2023-01-21,Nandos DUNDALK,-13.77,Dining & Takeaway,2023-01-21,13.77
"Jul 04, 2023",TK MAXX KILKENNY,-?10.00,Shopping,2023-07-04,10.0
"Nov 20, 2024",Nandos GALWAY,?3.80,Dining & Takeaway,2024-11-20,3.8
2025-06-04,Dominos Pizza LIMERICK,-?55.10,Dining & Takeaway,2025-06-04,55.1
2023-08-04,DUNNES STORES BRAY,-?69.72,Groceries,2023-08-04,69.72
2024-07-29,  Amazon.de Purchase   ,-?164.72,Shopping,2024-07-29,164.72
2023-05-20,BOOTS PHARMACY BRAY,160.10 EUR,Shopping,2023-05-20,160.1
2023-07-15,dunnes stores bray,-62.94,Groceries,2023-07-15,62.94
"Oct 14, 2023",tesco store #6536,-50.26,Groceries,2023-10-14,50.26
2024-04-01,IRISH RAIL ONLINE,-23.40,Transport,2024-04-01,23.4
04/05/2025,Dominos Pizza DUBLIN,-?5.27,Dining & Takeaway,2025-05-04,5.27
2024-04-19,Gourmet Burger Kitchen,-24.44,Dining & Takeaway,2024-04-19,24.44
2024-05-08,DART TICKET MACHINE,-?33.28,Transport,2024-05-08,33.28
2023-03-12,Brown Thomas Dublin,-10.00,Shopping,2023-03-12,10.0
2024-12-31,McDonalds GALWAY,-37.84,Dining & Takeaway,2024-12-31,37.84
2025-03-26,,-49.50,Groceries,2025-03-26,49.5
02/09/2024,gourmet burger kitchen,-?3.80,Dining & Takeaway,2024-09-02,3.8
2023-10-20,CIRCLE K DUBLIN,-2.40,Transport,2023-10-20,2.4
2025-06-21,TFI Leap Card Topup,?38.99,Transport,2025-06-21,38.99
26/02/2024,  Audible UK Monthly   ,?39.24,Entertainment & Subscriptions,2024-02-26,39.24
18/06/2023,,-53.96,Groceries,2023-06-18,53.96
"May 16, 2024",Irish Water Direct Debit,-?35.00,Utilities & Bills,2024-05-16,35.0
"May 15, 2025",Netflix.com monthly,-?4.99,Entertainment & Subscriptions,2025-05-15,4.99
2023-12-04,SuperValu DUBLIN,39.68,Groceries,2023-12-04,39.68
2024-02-11,TFI Leap Card Topup,-9.29,Transport,2024-02-11,9.29
"Jan 15, 2023",ALDI STORE 5209,?15.88,Groceries,2023-01-15,15.88
2023-12-31,SPAR EXPRESS KILKENNY,?88.68,Groceries,2023-12-31,88.68
"Nov 27, 2024",Nandos DUNDALK,-43.93,Dining & Takeaway,2024-11-27,43.93
2023.09.09,  Costa Coffee KILKENNY   ,-36.38,Dining & Takeaway,2023-09-09,36.38
2025-03-17,deliveroo.ie *8031,-?18.65,Dining & Takeaway,2025-03-17,18.65
"Mar 02, 2025",  RYANAIR *4281 AIRLINE   ,?254.59,Travel,2025-03-02,254.59
22/02/2023,Tesco Store #8919,38.57,Groceries,2023-02-22,38.57
01/07/2024,DISNEY PLUS MONTHLY,-20.34,Entertainment & Subscriptions,2024-07-01,20.34
2023.08.12,  APPLE STORE RETAIL   ,-208.80,Shopping,2023-08-12,208.8
30/03/2024,Costa Coffee DUBLIN,-76.44,Dining & Takeaway,2024-03-30,76.44
2023-03-26,AMZN PRIME MEMBER,-12.13,Entertainment & Subscriptions,2023-03-26,12.13
2023-02-05,Boojum Burrito LIMERICK,-?30.90,Dining & Takeaway,2023-02-05,30.9
2024-04-04,  THE LOCAL PUB & GRILL   ,-?28.69,Dining & Takeaway,2024-04-04,28.69
01/07/2023,nandos galway,-?24.77,Dining & Takeaway,2023-07-01,24.77
"Jan 23, 2025",Tesco Express,50.44,Groceries,2025-01-23,50.44
07/06/2024,Starbucks Coffee #1746,,Dining & Takeaway,2024-06-07,8.35
2023-05-09,Tesco Store #5410,-30.63,Groceries,2023-05-09,30.63
"May 04, 2025",disney plus monthly,-?15.62,Entertainment & Subscriptions,2025-05-04,15.62
2024-10-20,  SPOTIFY AB 1529 EUR   ,-20.77,Entertainment & Subscriptions,2024-10-20,20.77
2023-08-22,Insomnia Coffee Co,-?3.80,Dining & Takeaway,2023-08-22,3.8
2024-07-27,Playstation Network 6903,-6.43,Entertainment & Subscriptions,2024-07-27,6.43
2024-11-13,PLAYSTATION NETWORK 7875,-11.84,Entertainment & Subscriptions,2024-11-13,11.84
2025-06-04,Dominos Pizza GALWAY,-27.54,Dining & Takeaway,2025-06-04,27.54
2023-01-18,DART TICKET MACHINE,-14.05,Transport,2023-01-18,14.05
10/03/2023,ALDI STORE 1719,-?36.45,Groceries,2023-03-10,36.45
21/03/2023,ALDI STORE 7904,-?68.86,Groceries,2023-03-21,68.86
01/08/2023,  Boojum Burrito SWORDS   ,-?3.80,Dining & Takeaway,2023-08-01,3.8
2024-11-18,  Tesco Express   ,-68.77,Groceries,2024-11-18,68.77
2024-08-17,DELIVEROO.IE *3270,?31.27,Dining & Takeaway,2024-08-17,31.27
03/02/2023,CIRCLE K LIMERICK,-?29.48,Transport,2023-02-03,29.48
2023.10.08,lidl 5166 dublin,-58.03,Groceries,2023-10-08,58.03
2023-03-09,amzn mktp uk*8075,?39.53,Shopping,2023-03-09,39.53
2023.09.22,Lidl 5350 KILKENNY,-?78.26,Groceries,2023-09-22,78.26
"Jun 28, 2023",Physiotherapy Care Dublin,-?56.87,Health & Fitness,2023-06-28,56.87
"Jun 26, 2023",  Bord Gais Energy DD   ,-166.58,Utilities & Bills,2023-06-26,166.58
"Aug 25, 2023",Tesco Express,-?99.46,Groceries,2023-08-25,99.46
2023-02-24,ALDI STORE 5444,-?42.87,Groceries,2023-02-24,42.87
2024-04-01,JUST EAT 3550,43.42,Dining & Takeaway,2024-04-01,43.42
19/03/2024,LEAP CARD AUTO TOPUP,-29.33,Transport,2024-03-19,29.33
2025-03-13,Marks & Spencer Food,-74.78,Groceries,2025-03-13,74.78
"Mar 19, 2023",AMZN Mktp UK*9468,?34.03,Shopping,2023-03-19,34.03
2024.10.17,DUNNES STORES KILKENNY,?58.69,Groceries,2024-10-17,58.69
2023-08-03,Tesco Express,,Groceries,2023-08-03,81.05
03/05/2025,Starbucks Coffee #4968,,Dining & Takeaway,2025-05-03,47.9
30/06/2024,marks & spencer food,-44.33,Groceries,2024-06-30,44.33
2024-03-16,SPAR EXPRESS BRAY,-79.49,Groceries,2024-03-16,79.49
2024-03-24,Bord Gais Energy DD,-?96.86,Utilities & Bills,2024-03-24,96.86
2024-12-27,SuperValu LIMERICK,-?94.40,Groceries,2024-12-27,94.4
2023-12-07,FLYEfit Gym Monthly DD,-?55.47,Health & Fitness,2023-12-07,55.47
2024-03-20,tesco express,?34.45,Groceries,2024-03-20,34.45
"Nov 21, 2023",Steam Games Purchase,12.67 EUR,Entertainment & Subscriptions,2023-11-21,12.67
2024-12-28,YOUTUBE PREMIUM,?14.49,Entertainment & Subscriptions,2024-12-28,14.49
2025.04.23,irish water direct debit,-73.68,Utilities & Bills,2025-04-23,73.68
2025-06-14,CIRCLE K BRAY,10.28,Transport,2025-06-14,10.28
2023-06-07,Tesco Store #5390,-44.93,Groceries,2023-06-07,44.93
09/06/2025,  Dominos Pizza DUNDALK   ,-?25.48,Dining & Takeaway,2025-06-09,25.48
10/05/2025,,-6.11,Entertainment & Subscriptions,2025-05-10,6.11
09/03/2025,amzn mktp uk*8128,-24.42,Shopping,2025-03-09,24.42
"Jun 25, 2024",Amazon.de Purchase,-?60.98,Shopping,2024-06-25,60.98
04/05/2024,JUST EAT 8778,-?7.40,Dining & Takeaway,2024-05-04,7.4
"Feb 15, 2025",IKEA DUBLIN STORE,-?10.00,Shopping,2025-02-15,10.0
"Oct 25, 2023",  Marks & Spencer Food   ,?48.25,Groceries,2023-10-25,48.25
2025-02-16,Costa Coffee GALWAY,-?5.01,Dining & Takeaway,2025-02-16,5.01
02/11/2024,Council Tax Payment,-?90.57,Utilities & Bills,2024-11-02,90.57
2024.03.17,ODEON CINEMAS KILKENNY,17.80,Entertainment & Subscriptions,2024-03-17,17.8
27/11/2024,Dominos Pizza CORK,-?61.55,Dining & Takeaway,2024-11-27,61.55
2023-05-28,Tesco Store #5675,34.55 EUR,Groceries,2023-05-28,34.55
2024-03-14,Steam Games Purchase,-?5.79,Entertainment & Subscriptions,2024-03-14,5.79
2023-02-08,  IKEA DUBLIN STORE   ,34.78,Shopping,2023-02-08,34.78
2023-11-01,Starbucks Coffee #6318,-22.73,Dining & Takeaway,2023-11-01,22.73
20/08/2024,CIRCLE K LIMERICK,?26.24,Transport,2024-08-20,26.24
23/05/2023,Lidl 1170 Dublin,-61.00,Groceries,2023-05-23,61.0
"Jan 20, 2024",  TESCO EXTRA BRAY   ,83.53,Groceries,2024-01-20,83.53
2023.05.16,  LEAP CARD AUTO TOPUP   ,-29.41,Transport,2023-05-16,29.41
2024-07-23,  RYANAIR *8408 AIRLINE   ,?138.22,Travel,2024-07-23,138.22
2023-03-03,just eat 9061,-23.78,Dining & Takeaway,2023-03-03,23.78
2024-08-27,Boojum Burrito GALWAY,-?19.66,Dining & Takeaway,2024-08-27,19.66
2025-06-09,Bord Gais Energy DD,-74.35,Utilities & Bills,2025-06-09,74.35
2025.02.17,  Gourmet Burger Kitchen   ,-35.23,Dining & Takeaway,2025-02-17,35.23
20/03/2025,gourmet burger kitchen,-14.36,Dining & Takeaway,2025-03-20,14.36
2024-07-01,ALDI IRELAND GMBH,-?39.83,Groceries,2024-07-01,39.83
2025-06-19,Costa Coffee LIMERICK,-47.72,Dining & Takeaway,2025-06-19,47.72
2025-02-17,Lidl 7720 KILKENNY,?49.23,Groceries,2025-02-17,49.23
2024-03-13,Tesco Express,108.29,Groceries,2024-03-13,108.29
2025-05-02,IRISH RAIL ONLINE,?16.45,Transport,2025-05-02,16.45
2024-09-17,FLYEfit Gym Monthly DD,-?40.32,Health & Fitness,2024-09-17,40.32
2023-02-02,PENNEYS PRIMARK BRAY,-103.49,Shopping,2023-02-02,103.49
2024-11-10,,10.00,Shopping,2024-11-10,10.0
11/08/2023,Council Tax Payment,164.39,Utilities & Bills,2023-08-11,164.39
"Dec 17, 2023",SHELL PETROL 5030,-56.59,Transport,2023-12-17,56.59
2023-04-20,Ikea Dublin Store,-?10.00,Shopping,2023-04-20,10.0
2024-02-24,Lidl 7918 DUNDALK,-108.68,Groceries,2024-02-24,108.68
22/05/2023,Audible UK Monthly,-?4.99,Entertainment & Subscriptions,2023-05-22,4.99
2023-07-10,  APPLE STORE RETAIL   ,?75.75,Shopping,2023-07-10,75.75
"Mar 30, 2023",APPLE.COM/BILL,-4.99,Entertainment & Subscriptions,2023-03-30,4.99
"Jun 07, 2025",McDonalds BRAY,63.40 EUR,Dining & Takeaway,2025-06-07,63.4
2023.06.24,BOOTS PHARMACY DUNDALK,-23.00,Shopping,2023-06-24,23.0
29/07/2023,Costa Coffee BRAY,-?4.64,Dining & Takeaway,2023-07-29,4.64
2024.05.01,Applegreen Motorway Services,-12.22,Transport,2024-05-01,12.22
23/01/2025,FREE NOW TAXI DUBLIN,-2.40,Transport,2025-01-23,2.4
2024-04-02,ALDI STORE 9566,,Groceries,2024-04-02,36.9
2025-02-06,TFI Leap Card Topup,-25.66,Transport,2025-02-06,25.66
2024-01-09,  DART TICKET MACHINE   ,-?29.14,Transport,2024-01-09,29.14
2024.02.05,CIRCLE K GALWAY,-?18.95,Transport,2024-02-05,18.95
2025-05-17,costa coffee dublin,?51.39,Dining & Takeaway,2025-05-17,51.39
2024-06-03,  LEAP CARD AUTO TOPUP   ,-28.09,Transport,2024-06-03,28.09
2025-03-31,Dublin Airport Parking,-249.50,Travel,2025-03-31,249.5
27/03/2023,amzn prime member,-?13.44,Entertainment & Subscriptions,2023-03-27,13.44
2024.06.01,Audible UK Monthly,-?25.99,Entertainment & Subscriptions,2024-06-01,25.99
2024-04-11,  Marks & Spencer Food   ,44.07,Groceries,2024-04-11,44.07
2024-02-20,Tesco Store #5408,?41.66,Groceries,2024-02-20,41.66
"Feb 07, 2024",Lidl 7421 DUNDALK,-47.15,Groceries,2024-02-07,47.15
2025-04-11,Costa Coffee CORK,31.69,Dining & Takeaway,2025-04-11,31.69
2024-03-06,Lidl 3480 SWORDS,-?8.50,Groceries,2024-03-06,8.5
24/03/2025,Insomnia Coffee Co,-?14.88,Dining & Takeaway,2025-03-24,14.88
2023-06-07,Youtube Premium,?42.09,Entertainment & Subscriptions,2023-06-07,42.09
2024-03-04,,-?45.11,Dining & Takeaway,2024-03-04,45.11
2025-04-26,ALDI STORE 1854,78.83,Groceries,2025-04-26,78.83
2024-10-17,Free Now Taxi Dublin,-?2.40,Transport,2024-10-17,2.4
2023-05-16,  DUNNES STORES CORK   ,-105.20,Groceries,2023-05-16,105.2
20/10/2024,Netflix.com monthly,-15.52,Entertainment & Subscriptions,2024-10-20,15.52
"Apr 17, 2024",applegreen motorway services,-2.40,Transport,2024-04-17,2.4
31/08/2023,aer lingus dublin,-93.97,Travel,2023-08-31,93.97
2025.03.03,odeon cinemas cork,-13.86,Entertainment & Subscriptions,2025-03-03,13.86
23/02/2023,IKEA DUBLIN STORE,-?32.94,Shopping,2023-02-23,32.94
2024-04-13,Lidl 2481 KILKENNY,?53.06,Groceries,2024-04-13,53.06
"Apr 19, 2023",Sky Ireland TV & Broadband,-71.72,Utilities & Bills,2023-04-19,71.72
"Sep 20, 2024",Boojum Burrito DUBLIN,-?37.18,Dining & Takeaway,2024-09-20,37.18
